,Text
32,cerita cerita rasulullah shallallahu alaihi wasallam bersiwak sisi beliau orang laki laki tua allah wahyu beliau utama bersiwak siwak orang tua ahmad ibnu hazm terang abu said al arab masuk hadits riwayat ahli madinah
33,cerita abar rasulullah shallallahu alaihi wasallam masuk rumah siwak
34,cerita cerita rasulullah shallallahu alaihi wasallam sabda puluh perkara masuk fithrah potong kumis pelihara jenggot biar tumbuh bersiwak beristinsyaq air potong kuku basuh jari jari cabut bulu ketiak cukur bulu malu istinja air zakaria mushab terang lupa puluh kumur cerita cerita rasulullah shallallahu alaihi wasallam sabda sungguh anatara perkara fithrah kumur beristinsyaq hadits perihal pelihara jenggot khitan perihal percik air malu hilang was was perihal istinja air abu dawud riwayat hadits ibnu abbas perkara fithrah kepala perihal belah rambut kanan kiri perihal pelihara jenggot abu dawud riwayat hadits hammad thalq bin habib mujahid bakr bin abdullah al muzani perihal pelihara jenggot hadits nabi shallallahu alaihi wasallam perihal pelihara jenggot ibrahim an nakhai perihal pelihara jenggot khitan
35,cerita cerita rasulullah shallallahu alaihi wasallam bangun malam beliau gosok gigi gigi mulut siwak
36,cerita cerita nabi shallallahu alaihi wasallam bangun tidur malam siang kecuali beliau bersiwak beliau berwudhu
37,cerita cerita abar malam malam sisi nabi shallallahu alaihi wasallam tatkala bangun tidur beliau ambil air suci beliau ambil siwak bersiwak beliau baca ayat arti sungguh cipta langit langit bumi silih ganti malam siang tanda tanda orang orang akal ali imran beliau baca menghatamkan surat beliau menghatamkannya beliau berwudhu shalatnya shalat rakaat beliau tidur tidur allah bangun laku tidur tidur bangun laku beliau tidur tidur bangun laku kali beliau bangun beliau bersiwak shalat rakaat beliau laku shalat witir abu dawud riwayat ibnu abbas beliau bersiwak berwudhu baca ayat arti sungguh cipta langit langit bumi beliau menghatamkan surat
38,cerita cerita nabi shallallahu alaihi wasallam beliau sabda allah azza wa jalla terima sedekah harta ghulul harta rampas perang curi terima shalat suci
39,cerita cerita rasulullah shallallahu alaihi wasallam sabda kunci shalat suci haram gera laur shalat takbir halal salam
40,cerita cerita jalur cerita cerita cerita abu dawud hafal hadits ibnu yahya muhammad abu ghuthaif al hudzali adzan dzuhur kumandang berwudhu shalat tatkala adzan ashar kumandang berwudhu rasulullah shallallahu alaihi wasallam sabda barangsiapa berwudhu suci milik wudhu allah tulis puluh kabaikan abu dawud hadits musaddad sempurna
41,cerita cerita abar cerita rasulullah shallallahu alaihi wasallam sabda air capai qullah najis abu dawud hammad bin zaid memauqufkannya ashim
42,cerita cerita rasulullah shallallahu alaihi wasallam berwudhu sumur bidlaah sumur lempar bekas kotor haidl bangkai anjing bau busuk rasulullah shallallahu alaihi wasallam air suci najis abu dawud abdurrahman bin rafi ganti posisi abdullah bin rafi
43,cerita cerita dengar rasulullah shallallahu alaihi wasallam beliau engkau air sumur bidlaah sumur buang bangkai anjing bekas kotor haidl kotor manusia beliau shallallahu alaihi wasallam sabda sungguh air suci najis abu dawud dengar qutaibah bin said jaga sumur kondisi air maksimal capai tumbuh bulu malu aurat abu dawud ukur sumur bidlaah selendang julur sumur tarik nyata enam hasta orang buka pintu kebun bangun sumur rubah bangun lihat sumur air ubah warna
44,cerita cerita hadits nabi shallallahu alaihi wasallam beliau sabda salah orang kencing air genang mandi
45,cerita cerita dengar cerita hadits rasulullah shallallahu alaihi wasallam sabda salah orang kencing air genang mandi janabah
46,cerita cerita cerita cerita nabiyullah shallallahu alaihi wasallam sabda ekor anjing jilat bejana cuci tujuh kali tujuh tanah abu dawud riwayat perihal tanah
47,cerita cerita cerita rasulullah shallallahu alaihi wasallam perintah bunuh anjing beliau sabda hak bunuh anjing dosa bunuh beliau ringan pelihara anjing buru anjing awas domba beliau sabda ekor anjing jilat bejana cuci tujuh kali delapan gosok tanah abu dawud ibnu mughaffal
48,cerita nikah ibnu abi qatadah masuk tuang air wudhu ekor kucing minum miring bejana kucing selesai minum kabsyah lihat perhati engkau heran anak saudara ya sungguh rasulullah shallallahu alaihi wasallam sabda sungguh kucing najis binatang jantan betina keliling
49,cerita cerita cerita mandi rasulullah shallallahu alaihi wasallam bejana junub
50,cerita cerita tangan tangan rasulullah shallallahu alaihi wasallam ganti berwudhu bejana
51,cerita cerita cerita zaman nabi shallallahu alaihi wasallam berwudhu istri bejana masuk tangan bejana
52,cerita cerita jalur cerita cerita temu sahabat nabi shallallahu alaihi wasallam abu hurairah sahabat beliau rasulullah shallallahu alaihi wasallam larang perempuan mandi air sisa kaum lelaki larang kaum lelaki mandi air sisa perempuan musaddad ciduk air mandi
53,cerita cerita cerita nabi shallallahu alaihi wasallam larang orang laki laki berwudhu air bekas suci perempuan
54,cerita cerita nabi shallallahu alaihi wasallam sabda malam jin malam jin rasulullah shallallahu alaihi wasallam ajak beliau pergi kaum ajar islam kantong air sari buah beliau sabda kurma bagus air suci abu dawud zaid malam jin
55,cerita cerita rasulullah shallallahu alaihi wasallam malam jin orang beliau
56,cerita cerita cerita orang alami junub air sari buah mandi janabah sari buah
57,cerita cerita cerita tunai haji umrah kelompok orang imam shalat tatkala shalat shubuh maju salah orang pergi wc sungguh dengar rasulullah shallallahu alaihi wasallam sabda salah orang pergi wc shalat pergi wc abu dawud riwayat hadits cerita mayoritas perawi riwayat hadits hisyam zuhair
58,cerita makna cerita cerita ibnu isa haditsnya ibnu abi bakr sepakat seraya abdullah bin muhammad saudara al qasim bin muhammad makan al qasim bangkit shalat aisyah dengar rasulullah shallallahu alaihi wasallam sabda orang shalat makan hidang tahan buang air kencing
59,cerita cerita nabi shallallahu alaihi wasallam mandi sha air berwudhu mud abu dawud riwayat dengar
60,cerita cerita abar rasulullah shallallahu alaihi wasallam mandi sha air berwudhu mud
61,cerita cerita rasulullah shallallahu alaihi wasallam berwudhu bejana muat ritl air mandi sha abu dawud riwayat riwayat cerita abu dawud riwayat cerita dengar beliau shallallahu alaihi wasallam berwudhu mud ritl abu dawud dengar ahmad bin hanbal sha ritl ukur sha milik ibnu abi dzi b sha nabi shallallahu alaihi wasallam
62,cerita cerita cerita dengar anak doa ya allah sungguh mohon istana putih sisi kanan surga masuk abdullah bin mughaffal anak surga allah lindung neraka sungguh dengar rasulullah shallallahu alaihi wasallam sabda sungguh kaum umat suci doa
63,cerita cerita cerita rasulullah shallallahu alaihi wasallam lihat kaum mata kaki lihat kering beliau sabda celaka mata kaki siksa api neraka sempurna wudhu
64,cerita cerita cerita rasulullah shallallahu alaihi wasallam beliau air bejana kuningan beliau berwudhu
65,cerita cerita rasulullah shallallahu alaihi wasallam sabda sah shalat orang berwudhu sah wudhu orang nama allah taala
66,cerita cerita rasulullah shallallahu alaihi wasallam sabda salah orang bangun malam celup tangan bejana basuh kali sungguh posisi tangan malam cerita cerita nabi shallallahu alaihi wasallam hadits kali abu razin
67,cerita cerita dengar dengar rasulullah shallallahu alaihi wasallam sabda salah orang bangun tidur masuk tangan bejana basuh kali sungguh salah orang posisi tangan malam tangan keliling
68,cerita cerita abar mantan sahaya utsman bin affan lihat berwudhu tuang air tangan kali basuh kumur beristinsyaq basuh wajah kali basuh tangan kanan siku kali kiri usap kepala basuh kaki kanan kali kiri lihat rasulullah shallallahu alaihi wasallam berwudhu wudhuku sabda barangsiapa berwudhu wudhuku shalat rakaat bicara allah ampun dosa dosa cerita cerita cerita cerita cerita lihat berwudhu hadits kumur beristinsyaq hadits usap kepala kali basuh kaki kali lihat rasulullah shallallahu alaihi wasallam berwudhu sabda barangsiapa berwudhu mencukupunya abu salamah perkara shalat
69,cerita cerita cerita lihat basuh lengan kali kali usap kepala kali lihat rasulullah shallallahu alaihi wasallam laku abu dawud riwayat berwudhu kali
70,cerita cerita temu shalat air suci laku air suci shalat kecuali ajar bejana isi air tuang air bejana tangan kanan basuh tangan kali kumur beristinsyaq kali kumur beristinsyaq telapak tangan ambil air tangan kanan basuh wajah kali basuh tangan kanan kali basuh tangan kiri kali barangsiapa wudhu rasulullah shallallahu alaihi wasallam cerita cerita cerita rasulullah shallallahu alaihi wasallam sabda shubuh masuk rahbah beliau air orang pemuda bawa bejana isi air beliau ambil bejana tangan kanan tuang tangan kiri basuh telapak tangan kali beliau masuk tangan kanan bejana kumur kali beristinsyaq kali za idah bin qudamah hadits abu awanah beliau usap kepala kali hadits cerita cerita cerita dengar dengar lihat kursi duduk gayung isi air basuh tangan kali kumur beristinsyaq air syubah hadits cerita cerita cerita dengar wudhunya rasulullah shallallahu alaihi wasallam hadits zirr usap kepala air tetes basuh kaki kali kali wudhu rasulullah shallallahu alaihi wasallam
71,cerita cerita cerita lihat berwudhu basuh wajah kali basuh lengan kali usap kepala kali rasulullah shallallahu alaihi wasallam berwudhu
72,cerita cerita temu air wudhu bawa bejana isi air letak ibnu abbas lihat rasulullah shallallahu alaihi wasallam berwudhu tuang bejana tangan basuh masuk tangan kanan tuang air tangan basuh telapak tangan kumur beristinsyaq beristintsar masuk tangan ambil air sepenuh telapak tangan siram wajah masuk usap jari telinga laku ambil genggam air telapak tangan kanan tuang ubun ubunnya biar alir wajah basuh lengan siku kali kali usap kepala telinga masuk jari ambil air sepenuh telapak tangan siram kaki kena sandal pilin kaki abdullah al khaulani ibnu abbas kaki kena sandal ibnu abbas ya kaki kena sandal abdullah al khaulani ibnu abbas kaki kena sandal ibnu abbas ya kaki kena sandal abdullah al khaulani ibnu abbas kaki kena sandal ibnu abbas ya kaki kena sandal abu dawud hadits ibnu juraij syaibah rupa hadits ali hajjaj bin muhammad bin jurair usap kepala kali usap ibnu wahb ibnu jurair usap kepala kali
73,cerita kakek amru bin yahya al mazini lihat rasulullah shallallahu alaihi wasallam berwudhu abdullah bin zaid ya air wudhu tuang pda tangan basuh tangan kumur bersitinsyaq beristintsar kali basuh muka kali basuh tangan kali kali siku usap kepala tangan usap kepala usap tengkuk basuh kaki cerita cerita hadits kumur beristinsyaq beristintsar telapak tangan laku kali lafazh
74,cerita cerita cerita cerita dengar lihat wudhu rasulullah shallallahu alaihi wasallam wudhu beliau beliau usap kepala air sisa tangan basuh kaki bersih
75,cerita lafazhnya cerita lihat rasulullah shallallahu alaihi wasallam berwudhu tatkala gera usap kepala beliau letak telapak tangan kepala jalan tengkuk abar cerita makna cerita sanad beliau usap telinga hisyam beliau masuk jari jari lubang telinga
76,cerita cerita cerita cerita berwudhu orang orang lihat rasulullah shallallahu alaihi wasallam berwudhu tatkala gera usap kepala ambil ciduk air ambil tangan kiri siram kepala air kucur kucur usap kepala cerita cerita sanad berwudhu kali kali basuh kaki hitung
77,cerita cerita rasulullah shallallahu alaihi wasallam berwudhu sisi beliau usap kepala ujung rambut sisi kepala rambut rambut gerak
78,cerita cerita abar lihat rasulullah shallallahu alaihi wasallam berwudhu beliau usap kepala usap pelipis telinga kali
79,cerita cerita nabi shallallahu alaihi wasallam usap kepala sisa air tangan
80,cerita cerita lihat rasulullah shallallahu alaihi wasallam usap kepala kali tengkuk musaddad beliau usap kepala tangan telinga musaddad cerita hadits yahya ingkar abu dawud dengar ahmad ibnu uyainah klaim orang ingkar thalhah ayah kakek
81,cerita cerita abar lihat rasulullah shallallahu alaihi wasallam berwudhu hadits kali kali beliau usap kepala telinga kali
82,cerita cerita orang laki laki rasulullah shallallahu alaihi wasallam seraya ya rasulullah suci beliau perintah air bejana beliau basuh telapak tangan kali basuh wajah kali basuh lengan kali usap kepala masuk jari telunjuk telinga usap telinga jari telinga jari telunjuk basuh kaki kali kali beliau sabda berwudhu barangsiapa terang jelek kezhaliman kezhaliman jelek
83,cerita cerita cerita cerita nabi shallallahu alaihi wasallam berwudlu kali kali
84,cerita cerita cerita cerita lihat rasulullah shallallahu alaihi wasallam berwudhu bejana isi air rnenciduknya tangan kanan lantas kumur beristinsyaq ambil gabung tangan ciduk lantas usap wajah ambil ciduk basuh tangan kanan ambil basuh tangan kiri ambil genggam air kibas tangan usap kepala telinga ambil gegenggam percik kaki kanan sandal usap tangan tangan kaki tangan sandal laku kaki kiri
85,cerita cerita dengar hadits temu nabi shallallahu alaihi wasallam beliau berwudhu air alir wajah jenggot dada lihat beliau pisah kumur beristinsyaq
86,cerita rasulullah shallallahu alaihi wasallam sabda salah orang berwudhu masuk air hidung
87,cerita jamaah cerita utus bani muntafiq utus bani muntafiq rasulullah shallallahu alaihi wasallam rasulullah shallallahu alaihi wasallam nyata jumpa beliau rumah jumpa aisyah ummul mukminin laqith aisyah makan khazirah bubur campur daging potong potong makan bawa wadah isi buah kurma rasulullah shallallahu alaihi wasallam sabda makan perintah makan laqith ya rasulullah laqith duduk rasulullah shallallahu alaihi wasallam gembala kambing giring kambing beliau shallallahu alaihi wasallam masuk kandang ekor anak domba embik beliau shallallahu alaihi wasallam sabda asuh fulan sang gembala ekor kambing lahir ekor anak beliau sabda sembelih ekor kambing ganti beliau sabda kali sangka sembelih kambing ratus ekor kambing gembala gembala ekor anak sembelih ekor kambing ganti anak kambing lahir laqith rasulullah sungguh orang istri buruk beliau sabda cerai laqith rasulullah sungguh teman hidup anak beliau sabda ilah nasihat nasihat istri budak perempuan rasulullah beritahukanlah berwudhu beliau sempurna wudhu jari jemari beristinsyaq kecuali puasa cerita cerita cerita cerita temu aisyah hadits makna rasulullah shallallahu alaihi wasallam jalan keras ashidah ganti khazirah cerita cerita cerita hadits berwudhu mur
88,cerita cerita rasulullah shallallahu alaihi wasallam berwudhu beliau ambil air telapak tangan masuk dagu beliau nyela jenggot sabda rabbku azza wajalla perintah abu dawud hajjaj bin hajjaj riwayat al walid bin zauran abu al malih ar raqi
89,cerita cerita rasulullah shallallahu alaihi wasallam utus pasu perang beliau liput cuaca dingin hadap rasulullah shallallahu alaihi wasallam beliau perintah usap sorban khuf
90,cerita cerita lihat rasulullah shallallahu alaihi wasallam berwudhu beliau gosok jari jari kaki jari kelingking beliau
91,cerita cerita abar cerita abar dengar perang tabuk fajar rasulullah shallallahu alaihi wasallam jalan simpang jalan sahabat simpang jalan beliau nabi shallallahu alaihi wasallam derum kendara beliau beliau buang hajat selesai tuang tangan beliau air bejana beliau basuh telapak tangan cuci muka beliau singsing lengan jubah beliau buka asa sempit beliau masuk jubah lantas beliau basuh tangan siku usap kepala usap khuf beliau beliau kendara jalan orang orang sahabat kerja shalat angkat abdurrahman bin auf imam kerja shalat abdurrahman bin auf kerja rakaat shalat shubuh rasulullah shallallahu alaihi wasallam masuk shaf kaum muslimin kerja shalat abdurrahman bin auf rakaat abdurrahman salam nabi shallallahu alaihi wasallam sempurna shalat kaum muslimin kejut baca subhaanallah nabi shallallahu alaihi wasallam shalat rasulullah shallallahu alaihi wasallam salam beliau sabda laku bagus laku
